business_id,name,review_count,avg_stars,pageRank,pr_rank,rc_rank,star_rank
59-56qbtgwGigLNNsZiVZQ,Snapper's Sea Grill,1388,4.5,84.09364399427403,24,50.0,1.0
6_T2xzR74JqGCTPefAD8Tw,Morimoto,1914,4.5,81.442123355278,25,26.0,1.0
IWHdx0NhDKADkGOgXgOFKQ,Tommy DiNic's,2221,4.0,80.91582944613744,26,18.0,36.0
iksVwRfpWymIUUFqw0tXpw,Chubby Cattle,1128,4.5,80.61465671749907,27,73.0,1.0
8pqdJjefYq-a9IBSJJmKwA,The Dandelion,2497,4.0,80.25562391181356,28,16.0,36.0
AFYI0sfZ6WdVELjjEYOIpw,Busch Gardens Tampa Bay,1325,3.5,74.01524204665937,29,55.0,84.0
ntiIq1FNqduOyyowMFGh5A,Nan Zhou Hand Drawn Noodle House,2188,4.0,72.36907171623267,30,19.0,36.0
1Vo4BLw75ntATAJHYsxO3g,Whiskey Joe's Bar & Grill - Tampa,1368,3.0,71.48867315154625,31,51.0,93.0
OdIBX09glfXNVSyd0RnIeg,Monk's Cafe,2184,4.0,70.21200714858726,32,20.0,36.0
S8ZFYEgMejpChID8tzKo9A,Amada,2109,4.0,69.45444493243653,33,22.0,36.0
qY-BUQY-SFBaSrFHowF3nA,Nine Ting,1213,4.0,69.1432295709254,34,63.0,36.0
l4IeGBHXV2E8S8COd9rx9A,Rusty Bellies,1421,4.5,68.9748263517544,35,47.0,1.0
iUZEGx29miZObLd6_lt7Vg,Sabrina's Café,1721,4.0,68.8081252095414,36,32.0,36.0
jxEMFqwDJXjCxmcm5t5jVQ,Cleavers,1304,4.0,68.69107646743386,37,57.0,36.0
fCDMLD21ypv1XZ_EyafCkQ,Bodega,1772,4.5,67.17058525101531,38,31.0,1.0
1jeaxiZOisgDMxHR2K088g,Guppys on the Beach,1292,4.5,67.07348201198131,39,59.0,1.0
i_FWONQD1ZBqrNE2b-M5Ug,Talula's Garden,1927,4.5,65.80472385057838,40,25.0,1.0
LM54ufrINJWoTN5imV8Etw,John's Roast Pork,1564,4.5,65.28471634344345,41,36.0,1.0
sK0eAOorT6sf2mF5sjEAzg,Sesame Place,821,3.0,65.01350547549417,42,92.0,93.0
k-tHn9uxgWdq1ROHqwc-lw,Shells Seafood  - St Pete Beach,965,4.5,63.529472517149856,43,84.0,1.0
kZ1q0K13tFYG_ZJrVvsJHA,Sampan,2000,4.0,61.33533496328652,44,24.0,36.0
_zzNQl6ImFw_B64cSdaoGA,Seabreeze Island Grill,1108,4.0,60.79381219897321,45,75.0,36.0
zT2OzXDWKK1abapHs2RUrQ,The Boardwalk Grill,1060,4.5,60.62857584055461,46,80.0,1.0
CgiwCrXs3Ggu9eKFPIgjtA,Conch Republic Grill,1175,4.0,57.64280760052833,47,66.0,36.0
c_4c5rJECZSfNgFj7frwHQ,Tampa International Airport,1849,4.0,57.15197036428568,48,29.0,36.0
9f5GXEeTvBWnrZ-AHEjgJQ,The Original Crabby Bills,1144,4.0,57.09955538759173,49,71.0,36.0
p_qSQwShIgQnNxGcajI4-w,Oxford Exchange,1868,4.5,56.81158470830877,50,28.0,1.0
TV81bpCQ6p6o4Hau5hk-zw,Hellas Restaurant,1368,4.5,56.59134140794667,51,51.0,1.0
K7KHmHzxNwzqiijSJeKe_A,Cafe La Maude,1485,4.5,56.28853947470798,52,39.0,1.0
6-ixjryKFrCgue3JaHnvXQ,Pearly's Beach Eats,864,4.5,55.38343266243235,53,88.0,1.0
2CDI713ATuxHfnB5b-sBdw,Vedge,1447,4.5,54.6094273531687,54,44.0,1.0
RqW9S4WG9UYZHKhHRHXJZg,Lolis Mexican Cravings,1449,4.5,54.17075039073176,55,43.0,1.0
V2xSuNLZb6QAb7GdNkI3rg,The Frog Pond,969,4.5,53.85033457319728,56,83.0,1.0
Sv1MEZP-mMfp8SmE0hwYEA,Terakawa Ramen,1693,4.5,53.80859155751494,57,34.0,1.0
qQO7ErS_RAN4Vs1uX0L55Q,The Franklin Fountain,2062,4.0,53.198803153768914,58,23.0,36.0
_0QZGrg91aaiMhh7tQyYYg,Jacksons Bistro Bar & Sushi,1115,3.5,52.772410294527475,59,74.0,84.0
cmvseNCdevDdxbxlz3KkWw,Shrimpys Blues Bistro,1008,4.5,52.291527996123364,60,82.0,1.0
EQP8f7Rq5KXknJixlwxZEw,Salt Rock Grill,1192,4.0,52.07716346967207,61,65.0,36.0
cGX-1IUwXOjkUqZbkKYcjw,Fogo de Chao,1426,4.0,51.760857642355745,62,46.0,36.0
WxB8498ejPtHE7wFa89_fA,The Continental Mid-town,1682,3.5,51.25180640124692,63,35.0,84.0
6zEWIsb6Lhr3BeoC3gm1lw,Chickie's and Pete's,787,2.5,51.188172156609845,64,93.0,96.0
XuQ5ekbJ9eRUX06JTqJHaQ,The Mill Restaurant,1257,4.5,51.07363579024863,65,62.0,1.0
nYsNsyIppe_DTueBha1x9A,Red Mesa Cantina,1427,4.0,49.67667955276829,66,45.0,36.0
nIAbuktMEzVjT4P9pG89rQ,Buddakan,1561,4.0,49.30204174370951,67,37.0,36.0
TunmRrfZb7bt53T6HJi4UQ,Bleu Sushi,938,4.5,48.163068699217256,68,85.0,1.0
KXecZki-_3N7afs6HKWM3A,Ichicoro Ramen,1466,4.0,48.14167553089747,69,41.0,36.0
hExi86DTBlmIhB2FLvqrHg,On Swann,1291,4.5,47.31324631589041,70,60.0,1.0
w0lcP2ngFaUpBGi5yzlYDw,Yah Mon,697,4.5,47.26321609330242,71,96.0,1.0
qISf5ojuYbD9h71NumGUQA,Han Dynasty,1474,4.0,47.102792411611965,72,40.0,36.0
30cpm1uq6xcQCmN6JTrB8w,Luke's Lobster Rittenhouse,1161,4.5,46.87029239474761,73,67.0,1.0
5fSPNlVUBGMExOy9lgFn0A,Columbia Restaurant,1017,4.0,46.47024545740717,74,81.0,36.0
0oSSjekU-3GR8gselReWnA,Butcher and Singer,1290,4.5,46.3109555037563,75,61.0,1.0
KP5OncF2jhT7_J1phHPPww,Besito Mexican Restaurant,1092,4.0,46.22067518271984,76,78.0,36.0
ZKPrXH_GNW_AtZ31tP3NmA,White Dog Cafe,1301,4.0,45.58390509945931,77,58.0,36.0
R17gwW6zn9ilslbdvKdgsg,Alma de Cuba,1321,4.0,45.38758758351281,78,56.0,36.0
-cEFKAznWmI0cledNOIQ7w,Gran Caffe L'Aquila,1138,4.5,45.052013120033195,79,72.0,1.0
rgeuy1qbw6Z8B6CSVANHIA,Federal Donuts,1464,4.0,44.41853423154962,80,42.0,36.0
poviu-6n3iaRE4gdQz6OYw,Oyster House,1407,4.0,44.299230938169934,81,48.0,36.0
cE_gYW3CHEducTkEyxTDdA,Bartaco,1368,4.0,44.194917399952985,82,51.0,36.0
4wq9bzoCe3Mh0cPbYH1eDg,Max's Steaks,679,4.0,44.11678570795047,83,97.0,36.0
IEt-2fdWXfwF2rWLv59NwA,Newrez,359,2.0,44.07033572967246,84,100.0,99.0
2KIDQyTh-HzLxOUEDqtDBg,Mazzaro's Italian Market,1551,4.5,43.99899394253793,85,38.0,1.0
HPqTJ_yF2ZJw87yHWnSzSg,City Tavern Restaurant,841,4.0,43.99357810859336,86,91.0,36.0
hXvf5a798WvQtFn0Zbh2yw,Caddy's Treasure Island,908,3.5,43.919193241242034,87,87.0,84.0
4gszBjoouIzfi1ltSQZ2BQ,Tampa Bay Brewing Company,1086,4.0,43.73993845851981,88,79.0,36.0
lrowppSl2sk3hU4tSUaS6Q,Badfins Food + Brew,593,4.0,43.64584088503137,89,99.0,36.0
lKU_kljhbEQKIPaM1Zbqiw,Little Nonna's,1147,4.0,43.40389261736636,90,69.0,36.0
AlH5V97JSAu7AL_xdibMIg,Bahama Breeze,1099,3.5,43.22881165749642,91,76.0,84.0
JHRlwxxKY0JJcU97rJ-Bug,Cuba Libre Restaurant & Rum Bar - Philadelphia,1195,3.5,43.19571048157828,92,64.0,84.0
5oX4G1cptixPZecih9L3dg,Daily Eats,1147,4.0,42.98286765574981,93,69.0,36.0
_MWbuRiTqbWEjlfxRAvzWQ,Cristino's Coal Oven Pizza,936,4.5,42.66348194281123,94,86.0,1.0
-0TffRSXXIlBYVbb5AwfTg,IndeBlue Modern Indian Food & Spirits,1097,4.5,42.48559321656139,95,77.0,1.0
BjBDHqHhMXSxgyVipccznQ,Rusty Pelican - Tampa,745,4.0,42.28546565849034,96,94.0,36.0
x3Ifr1jj2Qu7JDZto6Kbfg,Crabby's Dockside,677,4.0,41.63515382192451,97,98.0,36.0
lqyYsXBAO6cVGR0cPCeydg,Frenchy's Saltwater Cafe,845,4.0,41.411141811532325,98,90.0,36.0
aUoMG97DMJG4nmwhT6z1zA,Devon Seafood Grill,1159,3.5,41.100851139095255,99,68.0,84.0
atZ_olNKXOG4rEr6mccN8g,Beiler's Bakery,1368,4.5,41.051365569234974,100,51.0,1.0
